"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"1"	"Wings"	"Paramount, Famous Players-Lasky"	"Lucien Hubbard"	1928
"2"	"The Racket"	"Paramount, Caddo"	"Howard Hughes"	1928
"3"	"Seventh Heaven"	"Fox"	"William Fox"	1928
"4"	"The Broadway Melody"	"Metro-Goldwyn-Mayer [L]"	"Irving Thalberg, Lawrence Weingarten"	1929
"5"	"Alibi"	"United Artists, Feature Productions"	"Roland West"	1929
"6"	"Hollywood Revue"	"Metro-Goldwyn-Mayer"	"Harry Rapf"	1929
"7"	"In Old Arizona"	"Fox"	"Winfield Sheehan [G]"	1929
"8"	"The Patriot"	"Paramount"	"Ernst Lubitsch"	1929
"9"	"All Quiet on the Western Front"	"Universal"	"Carl Laemmle, Jr."	1930
"10"	"The Big House"	"Metro-Goldwyn-Mayer"	"Irving Thalberg"	1930
"11"	"Disraeli"	"Warner Bros."	"Jack L. Warner, Darryl F. Zanuck"	1930
"12"	"The Divorcee"	"Metro-Goldwyn-Mayer"	"Robert Z. Leonard"	1930
"13"	"The Love Parade"	"Paramount"	"Ernst Lubitsch"	1930
"14"	"Cimarron"	"RKO Radio"	"William LeBaron"	1931
"15"	"East Lynne"	"Fox"	"Winfield Sheehan [G]"	1931
"16"	"The Front Page"	"United Artists, Caddo"	"Howard Hughes"	1931
"17"	"Skippy"	"Paramount"	"Adolph Zukor"	1931
"18"	"Trader Horn"	"Metro-Goldwyn-Mayer"	"Irving Thalberg"	1931
"19"	"Grand Hotel"	"Metro-Goldwyn-Mayer"	"Irving Thalberg"	1932
"20"	"Arrowsmith"	"Goldwyn, United Artists"	"Samuel Goldwyn"	1932
"21"	"Bad Girl"	"Fox"	"Winfield Sheehan [G]"	1932
"22"	"The Champ"	"Metro-Goldwyn-Mayer"	"King Vidor"	1932
"23"	"Five Star Final"	"Warner Bros., First National"	"Hal B. Wallis"	1932
"24"	"One Hour with You"	"Paramount"	"Ernst Lubitsch"	1932
"25"	"Shanghai Express"	"Paramount"	"Adolph Zukor"	1932
"26"	"The Smiling Lieutenant"	"Paramount"	"Ernst Lubitsch"	1932
"27"	"Cavalcade [H]"	"Fox"	"Winfield Sheehan [G]"	1933
"28"	"42nd Street"	"Warner Bros."	"Darryl F. Zanuck"	1933
"29"	"A Farewell to Arms [H]"	"Paramount"	"Adolph Zukor"	1933
"30"	"I Am a Fugitive from a Chain Gang"	"Warner Bros."	"Hal B. Wallis"	1933
"31"	"Lady for a Day"	"Columbia"	"Frank Capra"	1933
"32"	"Little Women [H]"	"RKO Radio"	"Merian C. Cooper, Kenneth MacGowan"	1933
"33"	"The Private Life of Henry VIII"	"London Films"	"Alexander Korda"	1933
"34"	"She Done Him Wrong"	"Paramount"	"William LeBaron"	1933
"35"	"Smilin' Through"	"Metro-Goldwyn-Mayer"	"Irving Thalberg"	1933
"36"	"State Fair"	"Fox"	"Winfield Sheehan [G]"	1933
"37"	"It Happened One Night [I]"	"Columbia"	"Harry Cohn, Frank Capra"	1934
"38"	"The Barretts of Wimpole Street [I]"	"Metro-Goldwyn-Mayer"	"Irving Thalberg"	1934
"39"	"Cleopatra"	"Paramount"	"Cecil B. DeMille"	1934
"40"	"Flirtation Walk"	"First National"	"Jack L. Warner, Hal B. Wallis, Robert Lord"	1934
"41"	"The Gay Divorcee"	"RKO Radio"	"Pandro S. Berman"	1934
"42"	"Here Comes the Navy"	"Warner Bros."	"Lou Edelman"	1934
